trial0000001, GVWY, 529.0, 10, 52.90, 6.80, 0.00000659, 0.00000069, PRZI, 0.0, 10, 0.00, 0.00, 0.00000000, 0.00000000
trial0000002, GVWY, 496.0, 10, 49.60, 6.60, 0.00000697, 0.00000074, PRZI, 0.0, 10, 0.00, 0.00, 0.00000000, 0.00000000
trial0000003, GVWY, 473.0, 10, 47.30, 6.80, 0.00000546, 0.00000057, PRZI, 0.0, 10, 0.00, 0.00, 0.00000000, 0.00000000
trial0000004, GVWY, 574.0, 10, 57.40, 8.00, 0.00000400, 0.00000037, PRZI, 0.0, 10, 0.00, 0.00, 0.00000000, 0.00000000
trial0000005, GVWY, 487.0, 10, 48.70, 7.40, 0.00000848, 0.00000091, PRZI, 0.0, 10, 0.00, 0.00, 0.00000000, 0.00000000
trial0000006, GVWY, 609.0, 10, 60.90, 7.80, 0.00000769, 0.00000102, PRZI, 0.0, 10, 0.00, 0.00, 0.00000000, 0.00000000
trial0000007, GVWY, 519.0, 10, 51.90, 7.20, 0.00001073, 0.00000109, PRZI, 0.0, 10, 0.00, 0.00, 0.00000000, 0.00000000
trial0000008, GVWY, 659.0, 10, 65.90, 8.20, 0.00001124, 0.00000117, PRZI, 0.0, 10, 0.00, 0.00, 0.00000000, 0.00000000
trial0000009, GVWY, 572.0, 10, 57.20, 7.60, 0.00001118, 0.00000119, PRZI, 0.0, 10, 0.00, 0.00, 0.00000000, 0.00000000
trial0000010, GVWY, 623.0, 10, 62.30, 7.20, 0.00001071, 0.00000125, PRZI, 0.0, 10, 0.00, 0.00, 0.00000000, 0.00000000
